Aldur,Kyn,Atvinnutekjur,Aðrar_tekjur,Fjármagnstekjur,Heildartekjur,Ráðstöfunartekjur,Skattar
1,Karlar,0.0,0.0,0.0,0.0,0.0,0.0
2,Karlar,0.0,0.0,0.0,0.0,0.0,0.0
3,Karlar,0.0,0.0,0.0,0.0,0.0,0.0
4,Karlar,0.0,0.0,0.0,0.0,0.0,0.0
5,Karlar,0.0,0.0,0.0,0.0,0.0,0.0
6,Karlar,0.0,0.0,0.0,0.0,0.0,0.0
7,Karlar,0.0,0.0,0.0,0.0,0.0,0.0
8,Karlar,0.0,0.0,0.0,0.0,0.0,0.0
9,Karlar,0.0,0.0,0.0,0.0,0.0,0.0
10,Karlar,0.0,0.0,0.0,0.0,0.0,0.0
11,Karlar,0.0,0.0,0.0,0.0,0.0,0.0
12,Karlar,0.0,0.0,0.0,0.0,0.0,0.0
13,Karlar,0.0,0.0,0.0,0.0,0.0,0.0
14,Karlar,0.0,0.0,0.0,0.0,0.0,0.0
15,Karlar,0.0,0.0,0.0,0.0,0.0,0.0
16,Karlar,1891000.0,143000.0,116000.0,2150000.0,1880000.0,198000.0
17,Karlar,2681250.0,216250.0,148000.0,3045500.0,2526000.0,414500.0
18,Karlar,3471500.0,289500.0,180000.0,3941000.0,3172000.0,631000.0
19,Karlar,4261750.0,362750.0,212000.0,4836500.0,3818000.0,847500.0
20,Karlar,5052000.0,436000.0,244000.0,5732000.0,4464000.0,1064000.0
21,Karlar,5488400.0,473600.0,258200.0,6220400.0,4782800.0,1215800.0
22,Karlar,5924800.0,511200.0,272400.0,6708800.0,5101600.0,1367600.0
23,Karlar,6361200.0,548800.0,286600.0,7197200.0,5420400.0,1519400.0
24,Karlar,6797600.0,586400.0,300800.0,7685600.0,5739200.0,1671200.0
25,Karlar,7234000.0,624000.0,315000.0,8174000.0,6058000.0,1823000.0
26,Karlar,7494200.0,643000.0,325600.0,8463800.0,6243800.0,1916600.0
27,Karlar,7754400.0,662000.0,336200.0,8753600.0,6429600.0,2010200.0
28,Karlar,8014600.0,681000.0,346800.0,9043400.0,6615400.0,2103800.0
29,Karlar,8274800.0,700000.0,357400.0,9333200.0,6801200.0,2197400.0
30,Karlar,8535000.0,719000.0,368000.0,9623000.0,6987000.0,2291000.0
31,Karlar,8741800.0,728600.0,394200.0,9865600.0,7137400.0,2375200.0
32,Karlar,8948600.0,738200.0,420400.0,10108200.0,7287800.0,2459400.0
33,Karlar,9155400.0,747800.0,446600.0,10350800.0,7438200.0,2543600.0
34,Karlar,9362200.0,757400.0,472800.0,10593400.0,7588600.0,2627800.0
35,Karlar,9569000.0,767000.0,499000.0,10836000.0,7739000.0,2712000.0
36,Karlar,9778600.0,784600.0,562200.0,11126200.0,7923200.0,2810200.0
37,Karlar,9988200.0,802200.0,625400.0,11416400.0,8107400.0,2908400.0
38,Karlar,10197800.0,819800.0,688600.0,11706600.0,8291600.0,3006600.0
39,Karlar,10407400.0,837400.0,751800.0,11996800.0,8475800.0,3104800.0
40,Karlar,10617000.0,855000.0,815000.0,12287000.0,8660000.0,3203000.0
41,Karlar,10769200.0,858000.0,897200.0,12524600.0,8820000.0,3275200.0
42,Karlar,10921400.0,861000.0,979400.0,12762200.0,8980000.0,3347400.0
43,Karlar,11073600.0,864000.0,1061600.0,12999800.0,9140000.0,3419600.0
44,Karlar,11225800.0,867000.0,1143800.0,13237400.0,9300000.0,3491800.0
45,Karlar,11378000.0,870000.0,1226000.0,13475000.0,9460000.0,3564000.0
46,Karlar,11443800.0,863600.0,1241800.0,13550200.0,9497000.0,3600400.0
47,Karlar,11509600.0,857200.0,1257600.0,13625400.0,9534000.0,3636800.0
48,Karlar,11575400.0,850800.0,1273400.0,13700600.0,9571000.0,3673200.0
49,Karlar,11641200.0,844400.0,1289200.0,13775800.0,9608000.0,3709600.0
50,Karlar,11707000.0,838000.0,1305000.0,13851000.0,9645000.0,3746000.0
51,Karlar,11505800.0,865800.0,1456400.0,13829000.0,9667000.0,3709200.0
52,Karlar,11304600.0,893600.0,1607800.0,13807000.0,9689000.0,3672400.0
53,Karlar,11103400.0,921400.0,1759200.0,13785000.0,9711000.0,3635600.0
54,Karlar,10902200.0,949200.0,1910600.0,13763000.0,9733000.0,3598800.0
55,Karlar,10701000.0,977000.0,2062000.0,13741000.0,9755000.0,3562000.0
56,Karlar,10464200.0,1188000.0,2035800.0,13689000.0,9708000.0,3567200.0
57,Karlar,10227400.0,1399000.0,2009600.0,13637000.0,9661000.0,3572400.0
58,Karlar,9990600.0,1610000.0,1983400.0,13585000.0,9614000.0,3577600.0
59,Karlar,9753800.0,1821000.0,1957200.0,13533000.0,9567000.0,3582800.0
60,Karlar,9517000.0,2032000.0,1931000.0,13481000.0,9520000.0,3588000.0
61,Karlar,8832200.0,2482800.0,1920600.0,13236600.0,9376400.0,3514400.0
62,Karlar,8147400.0,2933600.0,1910200.0,12992200.0,9232800.0,3440800.0
63,Karlar,7462600.0,3384400.0,1899800.0,12747800.0,9089200.0,3367200.0
64,Karlar,6777800.0,3835200.0,1889400.0,12503400.0,8945600.0,3293600.0
65,Karlar,6093000.0,4286000.0,1879000.0,12259000.0,8802000.0,3220000.0
66,Karlar,5199200.0,4746000.0,1857400.0,11803600.0,8552000.0,3058200.0
67,Karlar,4305400.0,5206000.0,1835800.0,11348200.0,8302000.0,2896400.0
68,Karlar,3411600.0,5666000.0,1814200.0,10892800.0,8052000.0,2734600.0
69,Karlar,2517800.0,6126000.0,1792600.0,10437400.0,7802000.0,2572800.0
70,Karlar,1624000.0,6586000.0,1771000.0,9982000.0,7552000.0,2411000.0
71,Karlar,1402400.0,6568800.0,1788800.0,9761000.0,7443800.0,2301600.0
72,Karlar,1180800.0,6551600.0,1806600.0,9540000.0,7335600.0,2192200.0
73,Karlar,959200.0,6534400.0,1824400.0,9319000.0,7227400.0,2082800.0
74,Karlar,737600.0,6517200.0,1842200.0,9098000.0,7119200.0,1973400.0
75,Karlar,516000.0,6500000.0,1860000.0,8877000.0,7011000.0,1864000.0
76,Karlar,461000.0,6460800.0,1774400.0,8697200.0,6856600.0,1838800.0
77,Karlar,406000.0,6421600.0,1688800.0,8517400.0,6702200.0,1813600.0
78,Karlar,351000.0,6382400.0,1603200.0,8337600.0,6547800.0,1788400.0
79,Karlar,296000.0,6343200.0,1517600.0,8157800.0,6393400.0,1763200.0
80,Karlar,241000.0,6304000.0,1432000.0,7978000.0,6239000.0,1738000.0
81,Karlar,212800.0,6174000.0,1472200.0,7860000.0,6181000.0,1678200.0
82,Karlar,184600.0,6044000.0,1512400.0,7742000.0,6123000.0,1618400.0
83,Karlar,156400.0,5914000.0,1552600.0,7624000.0,6065000.0,1558600.0
84,Karlar,128200.0,5784000.0,1592800.0,7506000.0,6007000.0,1498800.0
85,Karlar,100000.0,5654000.0,1633000.0,7388000.0,5949000.0,1439000.0
86,Karlar,100000.0,5654000.0,1633000.0,7388000.0,5949000.0,1439000.0
87,Karlar,100000.0,5654000.0,1633000.0,7388000.0,5949000.0,1439000.0
88,Karlar,100000.0,5654000.0,1633000.0,7388000.0,5949000.0,1439000.0
89,Karlar,100000.0,5654000.0,1633000.0,7388000.0,5949000.0,1439000.0
90,Karlar,100000.0,5654000.0,1633000.0,7388000.0,5949000.0,1439000.0
91,Karlar,100000.0,5654000.0,1633000.0,7388000.0,5949000.0,1439000.0
92,Karlar,100000.0,5654000.0,1633000.0,7388000.0,5949000.0,1439000.0
93,Karlar,100000.0,5654000.0,1633000.0,7388000.0,5949000.0,1439000.0
94,Karlar,100000.0,5654000.0,1633000.0,7388000.0,5949000.0,1439000.0
95,Karlar,100000.0,5654000.0,1633000.0,7388000.0,5949000.0,1439000.0
96,Karlar,100000.0,5654000.0,1633000.0,7388000.0,5949000.0,1439000.0
97,Karlar,100000.0,5654000.0,1633000.0,7388000.0,5949000.0,1439000.0
98,Karlar,100000.0,5654000.0,1633000.0,7388000.0,5949000.0,1439000.0
99,Karlar,100000.0,5654000.0,1633000.0,7388000.0,5949000.0,1439000.0
100,Karlar,100000.0,5654000.0,1633000.0,7388000.0,5949000.0,1439000.0
101,Karlar,100000.0,5654000.0,1633000.0,7388000.0,5949000.0,1439000.0
102,Karlar,100000.0,5654000.0,1633000.0,7388000.0,5949000.0,1439000.0
103,Karlar,100000.0,5654000.0,1633000.0,7388000.0,5949000.0,1439000.0
104,Karlar,100000.0,5654000.0,1633000.0,7388000.0,5949000.0,1439000.0
105,Karlar,100000.0,5654000.0,1633000.0,7388000.0,5949000.0,1439000.0
106,Karlar,100000.0,5654000.0,1633000.0,7388000.0,5949000.0,1439000.0
107,Karlar,100000.0,5654000.0,1633000.0,7388000.0,5949000.0,1439000.0
108,Karlar,100000.0,5654000.0,1633000.0,7388000.0,5949000.0,1439000.0
109,Karlar,100000.0,5654000.0,1633000.0,7388000.0,5949000.0,1439000.0
1,Konur,0.0,0.0,0.0,0.0,0.0,0.0
2,Konur,0.0,0.0,0.0,0.0,0.0,0.0
3,Konur,0.0,0.0,0.0,0.0,0.0,0.0
4,Konur,0.0,0.0,0.0,0.0,0.0,0.0
5,Konur,0.0,0.0,0.0,0.0,0.0,0.0
6,Konur,0.0,0.0,0.0,0.0,0.0,0.0
7,Konur,0.0,0.0,0.0,0.0,0.0,0.0
8,Konur,0.0,0.0,0.0,0.0,0.0,0.0
9,Konur,0.0,0.0,0.0,0.0,0.0,0.0
10,Konur,0.0,0.0,0.0,0.0,0.0,0.0
11,Konur,0.0,0.0,0.0,0.0,0.0,0.0
12,Konur,0.0,0.0,0.0,0.0,0.0,0.0
13,Konur,0.0,0.0,0.0,0.0,0.0,0.0
14,Konur,0.0,0.0,0.0,0.0,0.0,0.0
15,Konur,0.0,0.0,0.0,0.0,0.0,0.0
16,Konur,1908000.0,145000.0,126000.0,2180000.0,1929000.0,178000.0
17,Konur,2504250.0,235500.0,147750.0,2888250.0,2459250.0,330750.0
18,Konur,3100500.0,326000.0,169500.0,3596500.0,2989500.0,483500.0
19,Konur,3696750.0,416500.0,191250.0,4304750.0,3519750.0,636250.0
20,Konur,4293000.0,507000.0,213000.0,5013000.0,4050000.0,789000.0
21,Konur,4576200.0,582800.0,220000.0,5379400.0,4296400.0,897200.0
22,Konur,4859400.0,658600.0,227000.0,5745800.0,4542800.0,1005400.0
23,Konur,5142600.0,734400.0,234000.0,6112200.0,4789200.0,1113600.0
24,Konur,5425800.0,810200.0,241000.0,6478600.0,5035600.0,1221800.0
25,Konur,5709000.0,886000.0,248000.0,6845000.0,5282000.0,1330000.0
26,Konur,5883400.0,937600.0,268000.0,7090800.0,5450600.0,1400400.0
27,Konur,6057800.0,989200.0,288000.0,7336600.0,5619200.0,1470800.0
28,Konur,6232200.0,1040800.0,308000.0,7582400.0,5787800.0,1541200.0
29,Konur,6406600.0,1092400.0,328000.0,7828200.0,5956400.0,1611600.0
30,Konur,6581000.0,1144000.0,348000.0,8074000.0,6125000.0,1682000.0
31,Konur,6710600.0,1198400.0,368800.0,8278600.0,6265400.0,1741200.0
32,Konur,6840200.0,1252800.0,389600.0,8483200.0,6405800.0,1800400.0
33,Konur,6969800.0,1307200.0,410400.0,8687800.0,6546200.0,1859600.0
34,Konur,7099400.0,1361600.0,431200.0,8892400.0,6686600.0,1918800.0
35,Konur,7229000.0,1416000.0,452000.0,9097000.0,6827000.0,1978000.0
36,Konur,7395200.0,1422400.0,502000.0,9319800.0,6969800.0,2051800.0
37,Konur,7561400.0,1428800.0,552000.0,9542600.0,7112600.0,2125600.0
38,Konur,7727600.0,1435200.0,602000.0,9765400.0,7255400.0,2199400.0
39,Konur,7893800.0,1441600.0,652000.0,9988200.0,7398200.0,2273200.0
40,Konur,8060000.0,1448000.0,702000.0,10211000.0,7541000.0,2347000.0
41,Konur,8115800.0,1425800.0,750000.0,10292600.0,7584800.0,2382600.0
42,Konur,8171600.0,1403600.0,798000.0,10374200.0,7628600.0,2418200.0
43,Konur,8227400.0,1381400.0,846000.0,10455800.0,7672400.0,2453800.0
44,Konur,8283200.0,1359200.0,894000.0,10537400.0,7716200.0,2489400.0
45,Konur,8339000.0,1337000.0,942000.0,10619000.0,7760000.0,2525000.0
46,Konur,8307800.0,1306600.0,1050800.0,10666400.0,7794200.0,2539600.0
47,Konur,8276600.0,1276200.0,1159600.0,10713800.0,7828400.0,2554200.0
48,Konur,8245400.0,1245800.0,1268400.0,10761200.0,7862600.0,2568800.0
49,Konur,8214200.0,1215400.0,1377200.0,10808600.0,7896800.0,2583400.0
50,Konur,8183000.0,1185000.0,1486000.0,10856000.0,7931000.0,2598000.0
51,Konur,8039600.0,1193200.0,1556800.0,10791400.0,7902400.0,2567800.0
52,Konur,7896200.0,1201400.0,1627600.0,10726800.0,7873800.0,2537600.0
53,Konur,7752800.0,1209600.0,1698400.0,10662200.0,7845200.0,2507400.0
54,Konur,7609400.0,1217800.0,1769200.0,10597600.0,7816600.0,2477200.0
55,Konur,7466000.0,1226000.0,1840000.0,10533000.0,7788000.0,2447000.0
56,Konur,7248800.0,1365800.0,1785600.0,10401400.0,7689000.0,2423800.0
57,Konur,7031600.0,1505600.0,1731200.0,10269800.0,7590000.0,2400600.0
58,Konur,6814400.0,1645400.0,1676800.0,10138200.0,7491000.0,2377400.0
59,Konur,6597200.0,1785200.0,1622400.0,10006600.0,7392000.0,2354200.0
60,Konur,6380000.0,1925000.0,1568000.0,9875000.0,7293000.0,2331000.0
61,Konur,5784800.0,2401200.0,1567600.0,9755400.0,7227200.0,2301000.0
62,Konur,5189600.0,2877400.0,1567200.0,9635800.0,7161400.0,2271000.0
63,Konur,4594400.0,3353600.0,1566800.0,9516200.0,7095600.0,2241000.0
64,Konur,3999200.0,3829800.0,1566400.0,9396600.0,7029800.0,2211000.0
65,Konur,3404000.0,4306000.0,1566000.0,9277000.0,6964000.0,2181000.0
66,Konur,2814600.0,4638400.0,1596000.0,9049800.0,6855200.0,2087800.0
67,Konur,2225200.0,4970800.0,1626000.0,8822600.0,6746400.0,1994600.0
68,Konur,1635800.0,5303200.0,1656000.0,8595400.0,6637600.0,1901400.0
69,Konur,1046400.0,5635600.0,1686000.0,8368200.0,6528800.0,1808200.0
70,Konur,457000.0,5968000.0,1716000.0,8141000.0,6420000.0,1715000.0
71,Konur,389200.0,5918200.0,1704600.0,8012200.0,6353400.0,1653800.0
72,Konur,321400.0,5868400.0,1693200.0,7883400.0,6286800.0,1592600.0
73,Konur,253600.0,5818600.0,1681800.0,7754600.0,6220200.0,1531400.0
74,Konur,185800.0,5768800.0,1670400.0,7625800.0,6153600.0,1470200.0
75,Konur,118000.0,5719000.0,1659000.0,7497000.0,6087000.0,1409000.0
76,Konur,102400.0,5709400.0,1562200.0,7375000.0,5972400.0,1401800.0
77,Konur,86800.0,5699800.0,1465400.0,7253000.0,5857800.0,1394600.0
78,Konur,71200.0,5690200.0,1368600.0,7131000.0,5743200.0,1387400.0
79,Konur,55600.0,5680600.0,1271800.0,7009000.0,5628600.0,1380200.0
80,Konur,40000.0,5671000.0,1175000.0,6887000.0,5514000.0,1373000.0
81,Konur,36800.0,5581200.0,1127000.0,6746000.0,5409200.0,1336600.0
82,Konur,33600.0,5491400.0,1079000.0,6605000.0,5304400.0,1300200.0
83,Konur,30400.0,5401600.0,1031000.0,6464000.0,5199600.0,1263800.0
84,Konur,27200.0,5311800.0,983000.0,6323000.0,5094800.0,1227400.0
85,Konur,24000.0,5222000.0,935000.0,6182000.0,4990000.0,1191000.0
86,Konur,24000.0,5222000.0,935000.0,6182000.0,4990000.0,1191000.0
87,Konur,24000.0,5222000.0,935000.0,6182000.0,4990000.0,1191000.0
88,Konur,24000.0,5222000.0,935000.0,6182000.0,4990000.0,1191000.0
89,Konur,24000.0,5222000.0,935000.0,6182000.0,4990000.0,1191000.0
90,Konur,24000.0,5222000.0,935000.0,6182000.0,4990000.0,1191000.0
91,Konur,24000.0,5222000.0,935000.0,6182000.0,4990000.0,1191000.0
92,Konur,24000.0,5222000.0,935000.0,6182000.0,4990000.0,1191000.0
93,Konur,24000.0,5222000.0,935000.0,6182000.0,4990000.0,1191000.0
94,Konur,24000.0,5222000.0,935000.0,6182000.0,4990000.0,1191000.0
95,Konur,24000.0,5222000.0,935000.0,6182000.0,4990000.0,1191000.0
96,Konur,24000.0,5222000.0,935000.0,6182000.0,4990000.0,1191000.0
97,Konur,24000.0,5222000.0,935000.0,6182000.0,4990000.0,1191000.0
98,Konur,24000.0,5222000.0,935000.0,6182000.0,4990000.0,1191000.0
99,Konur,24000.0,5222000.0,935000.0,6182000.0,4990000.0,1191000.0
100,Konur,24000.0,5222000.0,935000.0,6182000.0,4990000.0,1191000.0
101,Konur,24000.0,5222000.0,935000.0,6182000.0,4990000.0,1191000.0
102,Konur,24000.0,5222000.0,935000.0,6182000.0,4990000.0,1191000.0
103,Konur,24000.0,5222000.0,935000.0,6182000.0,4990000.0,1191000.0
104,Konur,24000.0,5222000.0,935000.0,6182000.0,4990000.0,1191000.0
105,Konur,24000.0,5222000.0,935000.0,6182000.0,4990000.0,1191000.0
106,Konur,24000.0,5222000.0,935000.0,6182000.0,4990000.0,1191000.0
107,Konur,24000.0,5222000.0,935000.0,6182000.0,4990000.0,1191000.0
108,Konur,24000.0,5222000.0,935000.0,6182000.0,4990000.0,1191000.0
109,Konur,24000.0,5222000.0,935000.0,6182000.0,4990000.0,1191000.0
