Laun,Iðnaðarfólk,Sérfræðingar,Skrifstofufólk,Stjórnendur,Tæknar,Verkafólk,Þjónusta og umönnun,Alls
0-350,0,0,"0,073827981",0,0,"0,015257858","0,372221631","0,075594812"
350-400,0,"0,123408313","0,332225914",0,"0,040966817","0,747635032","2,392853345","0,612715843"
400-450,"0,066934404","1,149941101","3,063861203",0,"0,832991943","3,982300885","8,571732426","2,818890746"
450-500,"0,200803213","0,650698379","7,050572167","0,020408163","1,96640721","8,72749466","14,01680315","4,664995623"
500-550,"0,669344043","1,234083132","10,29900332","0,12244898","4,260548955","12,20628624","12,72997979","5,621866794"
550-600,"1,673360107","2,591574578","13,43669251","0,673469388","6,21330056","10,51266402","11,76220355","6,240550649"
600-650,"3,882195448","4,728782184","15,72535991","0,979591837","8,575720333","10,48214831","10,95395087","7,40630222"
650-700,"5,756358768","8,133729736","15,68844592","1,693877551","9,517957121","10,03967043","8,741890886","8,412906819"
700-750,"7,630522088","10,73091378","9,966777409","2,653061224","9,381401065","8,819041807","7,146655323","8,691414021"
750-800,"8,43373494","10,24289","8,416389812","3,387755102","9,108288953","8,223985352","5,97681591","8,188111721"
800-850,"6,894243641","8,689067145","5,610926541","4,591836735","7,838317629","6,774488862","3,988088908","6,813479749"
850-900,"9,236947791","7,83642789","3,285345146","5,142857143","6,486412672","5,096124504","3,233010741","5,954086099"
900-950,"8,500669344","6,899646603","2,104097453","5,346938776","5,530520279","3,890753738","2,414123152","5,102649797"
950-1.000,"6,157965194","6,260167162","1,365817645","5,693877551","4,397105012","2,593835825","1,744124216","4,348691016"
1.000-1.050,"5,823293173","5,155101812","0,88593577","4,734693878","3,850880787","2,151357949","1,595235563","3,656401687"
1.050-1.100,"5,62248996","4,639030684","0,996677741","4,87755102","3,400245801","1,6631065","1,361267681","3,320203708"
1.100-1.150,"3,74832664","3,769563022","0,590623846","4,816326531","2,758432336","1,235886482","0,829522493","2,675658471"
1.150-1.200,"3,949129853","2,754249173","0,369139904","4,795918367","2,266830534","0,717119316","0,701903648","2,138537439"
1.200-1.250,"4,350736278","2,389633702","0,110741971","4,387755102","1,611361464","0,335672872","0,404126343","1,766531392"
1.250-1.300,"2,945113788","1,991361418","0,221483942","4,612244898","1,229004506","0,411962161","0,265872594","1,537757619"
1.300-1.350,"2,409638554","1,621136478","0,073827981","3,734693878","1,133415267","0,228867867","0,212698075","1,251293069"
1.350-1.400,"3,145917001","1,351881977","0,147655962","3,12244898","0,669124676","0,305157156","0,212698075","1,06230604"
1.400-1.450,"2,476572959","0,998485443","0,03691399","3,857142857","0,532568619","0,152578578","0,08507923","0,919073765"
1.450-1.500,"2,008032129","0,813372974","0,110741971","2,244897959","0,778369521","0,106805005","0,095714134","0,718150712"
1.500-10.000,"4,417670683","5,244853312","0,03691399","28,51020408","7,619827939","0,579798596","0,191428268","6,00183019"