gender,age,ref_total,ref_wages,ref_cg,ref_other,total_income,wages,capital_gains,other_income,err_total,err_wages,err_cg,err_other,age_bin
Female,108,6182000.0,24000.0,935000.0,5222000.0,0.0,0.0,0.0,0.0,-6182000.0,-24000.0,-935000.0,-5222000.0,"[90, 120)"
Female,109,6182000.0,24000.0,935000.0,5222000.0,0.0,0.0,0.0,0.0,-6182000.0,-24000.0,-935000.0,-5222000.0,"[90, 120)"
Male,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 20)"
Male,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 20)"
Male,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 20)"
Male,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 20)"
Male,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 20)"
Male,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 20)"
Male,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 20)"
Male,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 20)"
Male,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 20)"
Male,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 20)"
Male,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 20)"
Male,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 20)"
Male,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 20)"
Male,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 20)"
Male,14,0.0,0.0,0.0,0.0,274613.95567651634,229736.15474339036,23268.75194401244,21609.04898911353,274613.95567651634,229736.15474339036,23268.75194401244,21609.04898911353,"[0, 20)"
Male,15,0.0,0.0,0.0,0.0,664050.4109968354,556799.5921677215,52795.3065664557,54455.51226265823,664050.4109968354,556799.5921677215,52795.3065664557,54455.51226265823,"[0, 20)"
Male,16,2150000.0,1891000.0,116000.0,143000.0,1193038.3942386832,1004471.5172839506,88930.67983539094,99636.19711934157,-956961.6057613168,-886528.4827160494,-27069.32016460906,-43363.80288065843,"[0, 20)"
Male,17,3045500.0,2681250.0,148000.0,216250.0,1787863.826955075,1502839.3752079867,131082.93677204658,153941.5149750416,-1257636.173044925,-1178410.6247920133,-16917.06322795342,-62308.48502495841,"[0, 20)"
Male,18,3941000.0,3471500.0,180000.0,289500.0,2500870.4102997044,2100571.873364289,180052.48459265512,220246.05234276067,-1440129.5897002956,-1370928.1266357112,52.48459265512065,-69253.94765723933,"[0, 20)"
Male,19,4836500.0,4261750.0,212000.0,362750.0,3111091.3474369408,2626709.1639544345,208620.96826688363,275761.21521562245,-1725408.6525630592,-1635040.8360455655,-3379.031733116368,-86988.78478437755,"[0, 20)"
Male,20,5732000.0,5052000.0,244000.0,436000.0,3564469.928853755,3010255.7545454544,233648.5695652174,320565.604743083,-2167530.071146245,-2041744.2454545456,-10351.430434782611,-115434.39525691699,"[20, 30)"
Male,21,6220400.0,5488400.0,258200.0,473600.0,3971132.6575569357,3356661.6695652176,255157.13664596275,359313.8513457557,-2249267.3424430643,-2131738.3304347824,-3042.863354037254,-114286.14865424432,"[20, 30)"
Male,22,6708800.0,5924800.0,272400.0,511200.0,4354743.157553665,3685657.55164034,271378.123126772,397707.4827865533,-2354056.8424463347,-2239142.44835966,-1021.8768732280005,-113492.51721344673,"[20, 30)"
Male,23,7197200.0,6361200.0,286600.0,548800.0,4807014.060046189,4088114.058121632,285810.4857582756,433089.51616628177,-2390185.9399538105,-2273085.941878368,-789.5142417243915,-115710.48383371823,"[20, 30)"
Male,24,7685600.0,6797600.0,300800.0,586400.0,5062406.346768061,4304825.841825095,299698.88517110265,457881.6197718631,-2623193.6532319393,-2492774.158174905,-1101.114828897349,-128518.3802281369,"[20, 30)"
Male,25,8174000.0,7234000.0,315000.0,624000.0,5379861.141785714,4581946.782857143,313168.925,484745.4339285714,-2794138.858214286,-2652053.2171428567,-1831.0750000000116,-139254.5660714286,"[20, 30)"
Male,26,8463800.0,7494200.0,325600.0,643000.0,5603857.625260236,4773632.506939625,324346.8181818182,505878.3001387925,-2859942.3747397643,-2720567.4930603746,-1253.1818181818235,-137121.6998612075,"[20, 30)"
Male,27,8753600.0,7754400.0,336200.0,662000.0,5786939.111072903,4928046.516162311,335828.32015130675,523064.27475928474,-2966660.8889270974,-2826353.4838376893,-371.679848693253,-138935.72524071526,"[20, 30)"
Male,28,9043400.0,8014600.0,346800.0,681000.0,6053720.385591767,5164182.2432247,346108.0994854202,543430.0428816467,-2989679.614408233,-2850417.7567753,-691.9005145797855,-137569.95711835334,"[20, 30)"
Male,29,9333200.0,8274800.0,357400.0,700000.0,6234976.096005155,5318806.123389175,361372.54606958764,554797.4265463918,-3098223.903994845,-2955993.876610825,3972.546069587639,-145202.5734536082,"[20, 30)"
Male,30,9623000.0,8535000.0,368000.0,719000.0,6605476.886792453,5651755.299721621,376786.87380142283,576934.7132694093,-3017523.113207547,-2883244.700278379,8786.87380142283,-142065.28673059074,"[30, 40)"
Male,31,9865600.0,8741800.0,394200.0,728600.0,6735604.5380536495,5750672.159700561,398163.27822832187,586769.1001247661,-3129995.4619463505,-2991127.8402994387,3963.2782283218694,-141830.89987523388,"[30, 40)"
Male,32,10108200.0,8948600.0,420400.0,738200.0,6959953.089604592,5940416.119897959,419623.53858418367,599913.431122449,-3148246.910395408,-3008183.880102041,-776.4614158163313,-138286.568877551,"[30, 40)"
Male,33,10350800.0,9155400.0,446600.0,747800.0,7148206.548661417,6092963.387401575,447471.2497637795,607771.911496063,-3202593.4513385827,-3062436.612598425,871.2497637795168,-140028.088503937,"[30, 40)"
Male,34,10593400.0,9362200.0,472800.0,757400.0,7379384.961425303,6275727.964694344,481200.4200719189,622456.5766590389,-3214015.0385746974,-3086472.0353056556,8400.420071918925,-134943.4233409611,"[30, 40)"
Male,35,10836000.0,9569000.0,499000.0,767000.0,7547953.959545302,6395867.453694416,520453.35105315945,631633.1547977265,-3288046.040454698,-3173132.546305584,21453.35105315945,-135366.84520227346,"[30, 40)"
Male,36,11126200.0,9778600.0,562200.0,784600.0,7799621.036764706,6581410.149159664,571260.2521008403,646950.6355042016,-3326578.9632352944,-3197189.8508403357,9060.252100840327,-137649.36449579836,"[30, 40)"
Male,37,11416400.0,9988200.0,625400.0,802200.0,8140145.929831289,6847033.945935583,625059.3615797546,668052.6223159509,-3276254.0701687112,-3141166.0540644173,-340.63842024537735,-134147.37768404908,"[30, 40)"
Male,38,11706600.0,10197800.0,688600.0,819800.0,8372973.1257668715,7000040.580521473,688372.7584355829,684559.7868098159,-3333626.8742331285,-3197759.4194785273,-227.2415644171415,-135240.2131901841,"[30, 40)"
Male,39,11996800.0,10407400.0,751800.0,837400.0,8505356.783846153,7058690.131923077,753751.5776923076,692915.0742307692,-3491443.216153847,-3348709.8680769233,1951.5776923076482,-144484.92576923082,"[30, 40)"
Male,40,12287000.0,10617000.0,815000.0,855000.0,8766716.45615328,7234301.779661017,826935.6768607221,705478.9996315402,-3520283.543846721,-3382698.2203389835,11935.676860722131,-149521.00036845985,"[40, 50)"
Male,41,12524600.0,10769200.0,897200.0,858000.0,9129320.472024033,7503763.354862937,902804.7739391663,722752.3432219302,-3395279.527975967,-3265436.645137063,5604.7739391663345,-135247.6567780698,"[40, 50)"
Male,42,12762200.0,10921400.0,979400.0,861000.0,9309162.486455109,7600185.840557275,981121.1602167182,727855.4856811146,-3453037.513544891,-3321214.1594427247,1721.1602167182136,-133144.5143188854,"[40, 50)"
Male,43,12999800.0,11073600.0,1061600.0,864000.0,9489220.467806475,7698818.720625682,1060887.5511094944,729514.1960712987,-3510579.5321935248,-3374781.279374318,-712.4488905055914,-134485.80392870132,"[40, 50)"
Male,44,13237400.0,11225800.0,1143800.0,867000.0,9798312.342342343,7928592.035660661,1131153.308933934,738566.9977477477,-3439087.657657657,-3297207.964339339,-12646.691066066036,-128433.0022522523,"[40, 50)"
Male,45,13475000.0,11378000.0,1226000.0,870000.0,9803251.228512397,7882460.669008264,1188239.2421487602,732551.3173553719,-3671748.771487603,-3495539.3309917357,-37760.75785123976,-137448.6826446281,"[40, 50)"
Male,46,13550200.0,11443800.0,1241800.0,863600.0,10086496.650719728,8117997.080863675,1229170.6892464014,739328.8806096528,-3463703.3492802717,-3325802.919136325,-12629.310753598576,-124271.11939034716,"[40, 50)"
Male,47,13625400.0,11509600.0,1257600.0,857200.0,10212475.684478372,8219828.203562341,1256179.0869380832,736468.3939779474,-3412924.3155216277,-3289771.7964376593,-1420.9130619168282,-120731.60602205258,"[40, 50)"
Male,48,13700600.0,11575400.0,1273400.0,850800.0,10070610.669895077,8071586.585149314,1271898.4285714286,727125.6561743341,-3629989.330104923,-3503813.4148506857,-1501.571428571362,-123674.34382566588,"[40, 50)"
Male,49,13775800.0,11641200.0,1289200.0,844400.0,10331908.773924496,8277258.223880597,1317961.8366988585,736688.7133450395,-3443891.226075504,-3363941.7761194026,28761.836698858533,-107711.28665496048,"[40, 50)"
Male,50,13851000.0,11707000.0,1305000.0,838000.0,10426225.415390981,8292499.957385188,1388857.589160116,744867.8688456764,-3424774.5846090186,-3414500.042614812,83857.58916011592,-93132.13115432358,"[50, 60)"
Male,51,13829000.0,11505800.0,1456400.0,865800.0,10483771.03626108,8238342.979049154,1485721.7937147461,759706.2634971797,-3345228.96373892,-3267457.0209508464,29321.793714746134,-106093.73650282028,"[50, 60)"
Male,52,13807000.0,11304600.0,1607800.0,893600.0,10546656.25,8160388.307207207,1607317.5513513514,778950.3914414415,-3260343.75,-3144211.692792793,-482.44864864856936,-114649.60855855851,"[50, 60)"
Male,53,13785000.0,11103400.0,1759200.0,921400.0,10644147.432354357,8076430.641309581,1760695.1709195955,807021.6201251806,-3140852.567645643,-3026969.3586904192,1495.170919595519,-114378.37987481942,"[50, 60)"
Male,54,13763000.0,10902200.0,1910600.0,949200.0,10696917.115789473,7952095.747368421,1876782.8123569794,868038.5560640732,-3066082.884210527,-2950104.2526315786,-33817.18764302065,-81161.44393592677,"[50, 60)"
Male,55,13741000.0,10701000.0,2062000.0,977000.0,10678569.925451092,7762915.341880342,1957742.9620132954,957911.6215574549,-3062430.0745489076,-2938084.658119658,-104257.03798670461,-19088.378442545072,"[50, 60)"
Male,56,13689000.0,10464200.0,2035800.0,1188000.0,10732657.048656164,7646360.891102873,2000281.517608897,1086014.639944393,-2956342.9513438363,-2817839.108897127,-35518.48239110294,-101985.36005560705,"[50, 60)"
Male,57,13637000.0,10227400.0,2009600.0,1399000.0,10819192.718557607,7567989.812225154,2007616.8179419525,1243586.0883905012,-2817807.2814423926,-2659410.1877748463,-1983.1820580475032,-155413.91160949878,"[50, 60)"
Male,58,13585000.0,9990600.0,1983400.0,1610000.0,10912162.390471742,7486762.749182625,1982179.1387202241,1443220.5025688931,-2672837.6095282584,-2503837.2508173753,-1220.8612797758542,-166779.49743110687,"[50, 60)"
Male,59,13533000.0,9753800.0,1957200.0,1821000.0,10773333.562267657,7147977.343866171,1965368.650557621,1659987.567843866,-2759666.4377323426,-2605822.6561338287,8168.6505576209165,-161012.43215613393,"[50, 60)"
Male,60,13481000.0,9517000.0,1931000.0,2032000.0,10153793.892873354,6282073.971402633,1936900.2119836586,1934819.709487063,-3327206.1071266457,-3234926.028597367,5900.211983658606,-97180.29051293689,"[60, 70)"
Male,61,13236600.0,8832200.0,1920600.0,2482800.0,9465713.541761752,5290122.86992241,1922729.8092195345,2252860.8626198084,-3770886.458238248,-3542077.1300775902,2129.809219534509,-229939.1373801916,"[60, 70)"
Male,62,12992200.0,8147400.0,1910200.0,2933600.0,8900535.141954303,4364276.819640253,1909669.9426349052,2626588.3796791444,-4091664.858045697,-3783123.1803597473,-530.0573650947772,-307011.62032085564,"[60, 70)"
Male,63,12747800.0,7462600.0,1899800.0,3384400.0,8458693.06569343,3534598.9635036495,1897619.091240876,3026475.0109489053,-4289106.934306569,-3928001.0364963505,-2180.9087591241114,-357924.98905109474,"[60, 70)"
Male,64,12503400.0,6777800.0,1889400.0,3835200.0,8127908.171525753,2791855.523323615,1886776.301749271,3449276.3464528667,-4375491.828474247,-3985944.476676385,-2623.698250728892,-385923.6535471333,"[60, 70)"
Male,65,12259000.0,6093000.0,1879000.0,4286000.0,7763714.361573374,2039671.6132123047,1869134.4044377205,3854908.3439233485,-4495285.638426626,-4053328.3867876953,-9865.595562279457,-431091.65607665153,"[60, 70)"
Male,66,11803600.0,5199200.0,1857400.0,4746000.0,7533177.252621069,1398509.5077383923,1858802.312031952,4275865.432850724,-4270422.747378931,-3800690.4922616077,1402.3120319519658,-470134.5671492759,"[60, 70)"
Male,67,11348200.0,4305400.0,1835800.0,5206000.0,7388726.932572614,862325.7318464731,1839831.7302904564,4686569.470435685,-3959473.0674273856,-3443074.268153527,4031.730290456442,-519430.52956431545,"[60, 70)"
Male,68,10892800.0,3411600.0,1814200.0,5666000.0,7602164.330777656,683407.8050383352,1812770.2842278203,5105986.2415115,-3290635.6692223437,-2728192.1949616647,-1429.7157721796539,-560013.7584884996,"[60, 70)"
Male,69,10437400.0,2517800.0,1792600.0,6126000.0,7749800.638236978,530966.2346880366,1796526.1866056097,5422308.216943331,-2687599.361763022,-1986833.7653119634,3926.1866056097206,-703691.7830566689,"[60, 70)"
Male,70,9982000.0,1624000.0,1771000.0,6586000.0,7869677.203777905,405387.21808815113,1793069.570120206,5671220.415569548,-2112322.7962220954,-1218612.7819118488,22069.570120206103,-914779.5844304524,"[70, 80)"
Male,71,9761000.0,1402400.0,1788800.0,6568800.0,7933886.98125404,307603.53135100193,1798393.173238526,5827890.276664512,-1827113.0187459597,-1094796.468648998,9593.173238526098,-740909.7233354878,"[70, 80)"
Male,72,9540000.0,1180800.0,1806600.0,6551600.0,7954750.337365591,236002.375672043,1807384.807123656,5911363.154569892,-1585249.662634409,-944797.6243279569,784.807123655919,-640236.8454301078,"[70, 80)"
Male,73,9319000.0,959200.0,1824400.0,6534400.0,7910620.122292994,191551.35031847135,1826601.7624203821,5892467.00955414,-1408379.8777070064,-767648.6496815287,2201.762420382118,-641932.9904458597,"[70, 80)"
Male,74,9098000.0,737600.0,1842200.0,6517200.0,7823168.208392603,154178.57112375533,1820794.6564722618,5848194.980796586,-1274831.7916073967,-583421.4288762447,-21405.343527738238,-669005.0192034142,"[70, 80)"
Male,75,8877000.0,516000.0,1860000.0,6500000.0,7769566.324704142,123071.22485207101,1795888.8210059172,5850606.278846154,-1107433.6752958577,-392928.775147929,-64111.178994082846,-649393.721153846,"[70, 80)"
Male,76,8697200.0,461000.0,1774400.0,6460800.0,7672303.818322982,99051.48913043478,1750596.0621118012,5822656.267080746,-1024896.1816770183,-361948.5108695652,-23803.937888198765,-638143.7329192543,"[70, 80)"
Male,77,8517400.0,406000.0,1688800.0,6421600.0,7564154.503484321,81085.87369337979,1695533.6167247386,5787535.013066202,-953245.4965156792,-324914.1263066202,6733.616724738618,-634064.9869337976,"[70, 80)"
Male,78,8337600.0,351000.0,1603200.0,6382400.0,7401177.447080292,70043.16788321167,1599873.318430657,5731260.9607664235,-936422.5529197082,-280956.8321167883,-3326.681569342967,-651139.0392335765,"[70, 80)"
Male,79,8157800.0,296000.0,1517600.0,6343200.0,7269041.021008403,60278.84978991596,1540797.2426470588,5667964.928571428,-888758.978991597,-235721.15021008404,23197.242647058796,-675235.0714285718,"[70, 80)"
Male,80,7978000.0,241000.0,1432000.0,6304000.0,7148728.640043763,51431.2056892779,1502657.5984682713,5594639.835886215,-829271.3599562366,-189568.7943107221,70657.59846827132,-709360.1641137851,"[80, 90)"
Male,81,7860000.0,212800.0,1472200.0,6174000.0,7082607.652226234,43386.8219013237,1495151.1227436822,5544069.707581228,-777392.3477737661,-169413.1780986763,22951.122743682237,-629930.2924187724,"[80, 90)"
Male,82,7742000.0,184600.0,1512400.0,6044000.0,6976732.734604105,36932.83870967742,1514262.3680351905,5425537.527859238,-765267.2653958946,-147667.16129032258,1862.368035190506,-618462.472140762,"[80, 90)"
Male,83,7624000.0,156400.0,1552600.0,5914000.0,6902825.361666666,31122.138333333332,1555173.2466666666,5316529.976666667,-721174.6383333337,-125277.86166666666,2573.246666666586,-597470.0233333334,"[80, 90)"
Male,84,7506000.0,128200.0,1592800.0,5784000.0,6829967.930232558,26844.79069767442,1589749.7495527728,5213373.389982111,-676032.0697674416,-101355.20930232559,-3050.250447227154,-570626.6100178892,"[80, 90)"
Male,85,7388000.0,100000.0,1633000.0,5654000.0,6781140.962075848,23439.45109780439,1605665.2255489023,5152036.2854291415,-606859.0379241519,-76560.54890219562,-27334.774451097706,-501963.7145708585,"[80, 90)"
Male,86,7388000.0,100000.0,1633000.0,5654000.0,6648231.7290322585,21071.10322580645,1608645.2688172043,5018515.356989248,-739768.2709677415,-78928.89677419355,-24354.731182795716,-635484.6430107523,"[80, 90)"
Male,87,7388000.0,100000.0,1633000.0,5654000.0,6642985.482993198,19729.521541950115,1607471.4081632653,5015784.553287982,-745014.5170068024,-80270.47845804988,-25528.591836734675,-638215.446712018,"[80, 90)"
Male,88,7388000.0,100000.0,1633000.0,5654000.0,6593814.692307692,19544.71301775148,1597218.0443786983,4977051.934911243,-794185.307692308,-80455.28698224852,-35781.95562130166,-676948.0650887573,"[80, 90)"
Male,89,7388000.0,100000.0,1633000.0,5654000.0,6557017.720257235,19436.334405144695,1576707.961414791,4960873.424437299,-830982.2797427652,-80563.66559485531,-56292.038585209055,-693126.5755627006,"[80, 90)"
Male,90,7388000.0,100000.0,1633000.0,5654000.0,6496863.257575758,19323.594696969696,1575294.9318181819,4902244.731060606,-891136.7424242422,-80676.4053030303,-57705.06818181812,-751755.2689393936,"[90, 120)"
Male,91,7388000.0,100000.0,1633000.0,5654000.0,6470199.270833333,19106.760416666668,1569665.34375,4881427.166666667,-917800.729166667,-80893.23958333333,-63334.65625,-772572.833333333,"[90, 120)"
Male,92,7388000.0,100000.0,1633000.0,5654000.0,6340326.742857143,19055.514285714286,1524928.7523809525,4796342.476190476,-1047673.2571428567,-80944.48571428572,-108071.24761904753,-857657.5238095243,"[90, 120)"
Male,93,7388000.0,100000.0,1633000.0,5654000.0,6372091.80319149,18825.313829787236,1530574.670212766,4822691.819148936,-1015908.1968085105,-81174.68617021276,-102425.32978723408,-831308.1808510637,"[90, 120)"
Male,94,7388000.0,100000.0,1633000.0,5654000.0,6284420.955752213,18586.40707964602,1530911.9734513275,4734922.575221239,-1103579.0442477874,-81413.59292035399,-102088.02654867247,-919077.4247787613,"[90, 120)"
Male,95,7388000.0,100000.0,1633000.0,5654000.0,6259260.26744186,18694.31395348837,1506749.4767441861,4733816.476744186,-1128739.7325581396,-81305.68604651163,-126250.52325581387,-920183.5232558139,"[90, 120)"
Male,96,7388000.0,100000.0,1633000.0,5654000.0,6251433.515625,18414.46875,1478133.03125,4754886.015625,-1136566.484375,-81585.53125,-154866.96875,-899113.984375,"[90, 120)"
Male,97,7388000.0,100000.0,1633000.0,5654000.0,6061122.12244898,17968.183673469386,1492751.8163265307,4550402.12244898,-1326877.8775510201,-82031.81632653062,-140248.18367346935,-1103597.8775510201,"[90, 120)"
Male,98,7388000.0,100000.0,1633000.0,5654000.0,5986835.344827586,17548.0,1458565.103448276,4510722.24137931,-1401164.6551724141,-82452.0,-174434.89655172406,-1143277.7586206896,"[90, 120)"
Male,99,7388000.0,100000.0,1633000.0,5654000.0,6097992.96,17748.56,1494235.64,4586008.76,-1290007.04,-82251.44,-138764.3600000001,-1067991.2400000002,"[90, 120)"
Male,100,7388000.0,100000.0,1633000.0,5654000.0,6007585.333333333,17458.5,1444656.8333333333,4545470.0,-1380414.666666667,-82541.5,-188343.16666666674,-1108530.0,"[90, 120)"
Male,101,7388000.0,100000.0,1633000.0,5654000.0,5970704.4,18016.0,1400806.6,4551881.8,-1417295.5999999996,-81984.0,-232193.3999999999,-1102118.2000000002,"[90, 120)"
Male,102,7388000.0,100000.0,1633000.0,5654000.0,0.0,0.0,0.0,0.0,-7388000.0,-100000.0,-1633000.0,-5654000.0,"[90, 120)"
Male,103,7388000.0,100000.0,1633000.0,5654000.0,6048481.5,17915.0,1409719.5,4620847.0,-1339518.5,-82085.0,-223280.5,-1033153.0,"[90, 120)"
Male,104,7388000.0,100000.0,1633000.0,5654000.0,0.0,0.0,0.0,0.0,-7388000.0,-100000.0,-1633000.0,-5654000.0,"[90, 120)"
Male,105,7388000.0,100000.0,1633000.0,5654000.0,5697959.0,16761.0,1296393.0,4384805.0,-1690041.0,-83239.0,-336607.0,-1269195.0,"[90, 120)"
Male,106,7388000.0,100000.0,1633000.0,5654000.0,0.0,0.0,0.0,0.0,-7388000.0,-100000.0,-1633000.0,-5654000.0,"[90, 120)"
Male,107,7388000.0,100000.0,1633000.0,5654000.0,0.0,0.0,0.0,0.0,-7388000.0,-100000.0,-1633000.0,-5654000.0,"[90, 120)"
Male,108,7388000.0,100000.0,1633000.0,5654000.0,0.0,0.0,0.0,0.0,-7388000.0,-100000.0,-1633000.0,-5654000.0,"[90, 120)"
Male,109,7388000.0,100000.0,1633000.0,5654000.0,0.0,0.0,0.0,0.0,-7388000.0,-100000.0,-1633000.0,-5654000.0,"[90, 120)"
